2026-03-07 15:35:14.652 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'BPO' in Ahmedabad
2026-03-07 15:35:15.057 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ BPO in Ahmedabad: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:15.064 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'customer support' in Ahmedabad
2026-03-07 15:35:15.471 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ customer support in Ahmedabad: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:15.471 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'data analyst' in Ahmedabad
2026-03-07 15:35:15.878 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ data analyst in Ahmedabad: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:15.879 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'software developer' in Ahmedabad
2026-03-07 15:35:16.184 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ software developer in Ahmedabad: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:16.185 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'digital marketing' in Ahmedabad
2026-03-07 15:35:16.478 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ digital marketing in Ahmedabad: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:16.478 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'content writer' in Ahmedabad
2026-03-07 15:35:16.798 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ content writer in Ahmedabad: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:16.799 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'HR executive' in Ahmedabad
2026-03-07 15:35:17.105 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ HR executive in Ahmedabad: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:17.106 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'BPO' in Jaipur
2026-03-07 15:35:17.407 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ BPO in Jaipur: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:17.408 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'customer support' in Jaipur
2026-03-07 15:35:17.714 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ customer support in Jaipur: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:17.715 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'data analyst' in Jaipur
2026-03-07 15:35:18.024 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ data analyst in Jaipur: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:18.024 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'software developer' in Jaipur
2026-03-07 15:35:18.336 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ software developer in Jaipur: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:18.336 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'digital marketing' in Jaipur
2026-03-07 15:35:18.635 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ digital marketing in Jaipur: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:18.636 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'content writer' in Jaipur
2026-03-07 15:35:18.947 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ content writer in Jaipur: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
